Node,latitude,longitude,accelX,accelY,accelZ,temperature,pressure,altitude,methanePPM,carbonMonoxidePPM,alert
1,13.099,74.798,0.134033,-0.014404,-0.770264,34.05,1006.55,55.93331,0.14,0.68,no
1,13.099,74.798,0.139893,-0.023926,-0.777832,34.05,1006.554,55.90247,0.14,0.69,no
1,13.099,74.798,0.133057,-0.030273,-0.77832,34.05,1006.599,55.52283,0.14,0.68,no
1,13.099,74.798,0.130127,-0.019531,-0.773438,34.05,1006.543,55.98943,0.14,0.68,no
1,13.099,74.798,0.12793,-0.020752,-0.778564,34.05,1006.548,55.94645,0.14,0.68,no
1,13.099,74.798,0.13208,-0.014404,-0.770752,34.05,1006.534,56.06273,0.14,0.68,no
1,13.099,74.798,0.139648,-0.020752,-0.776611,34.05,1006.559,55.85748,0.14,0.68,no
1,13.099,74.798,0.128418,-0.024902,-0.77832,34.05,1006.557,55.87164,0.14,0.68,no
1,13.099,74.798,0.147461,-0.021484,-0.763916,34.05,1006.552,55.91511,0.14,0.68,no
1,13.099,74.798,0.127686,-0.025146,-0.778809,34.06,1006.531,56.08902,0.14,0.68,no
1,13.099,74.798,0.137695,-0.019287,-0.779053,34.06,1006.556,55.88427,0.14,0.68,no
1,13.099,74.798,0.133057,-0.022949,-0.780518,34.06,1006.533,56.07335,0.14,0.68,no
1,13.099,74.798,0.134521,-0.013428,-0.780029,34.06,1006.533,56.07436,0.14,0.68,no
1,13.099,74.798,0.135742,-0.02417,-0.773926,34.06,1006.556,55.88427,0.14,0.68,no
1,13.099,74.798,0.133789,-0.02832,-0.775391,34.06,1006.554,55.89691,0.14,0.68,no
1,13.099,74.798,0.13501,-0.023438,-0.778809,34.06,1006.54,56.01217,0.14,0.68,no
1,13.099,74.798,0.136475,-0.024414,-0.774414,34.06,1006.58,55.67701,0.14,0.68,no
1,13.099,74.798,0.129395,-0.013916,-0.778076,34.06,1006.582,55.66336,0.14,0.68,no
1,13.099,74.798,0.136475,-0.025635,-0.773926,34.06,1006.54,56.01217,0.14,0.68,no
1,13.099,74.798,0.136475,-0.017334,-0.777832,34.07,1006.5,56.34887,0.14,0.68,no
1,13.099,74.798,0.13916,-0.024414,-0.782959,34.06,1006.549,55.93988,0.14,0.68,no
1,13.099,74.798,0.131592,-0.023926,-0.77832,34.06,1006.542,55.99751,0.14,0.68,no
1,13.099,74.798,0.136475,-0.0271,-0.779053,34.07,1006.544,56.042,0.14,0.68,no
1,13.099,74.798,0.131348,-0.023926,-0.780273,34.07,1006.556,55.87922,0.14,0.68,no
1,13.099,74.798,0.134521,-0.020752,-0.780518,34.07,1006.556,55.87972,0.14,0.68,no
1,13.099,74.798,0.13623,-0.02417,-0.783691,34.07,1006.568,55.77761,0.14,0.68,no
1,13.099,74.798,0.131592,-0.018066,-0.775879,34.07,1006.565,55.80794,0.14,0.68,no
1,13.099,74.798,0.134766,-0.025146,-0.776855,34.07,1006.541,56.01116,0.14,0.68,no
1,13.099,74.798,0.137695,-0.019287,-0.779053,34.07,1006.528,56.11379,0.14,0.68,no
1,13.099,74.798,0.127441,-0.021484,-0.780273,34.07,1006.535,56.05413,0.14,0.68,no
1,13.099,74.798,0.126953,-0.025146,-0.763672,34.07,1006.549,55.93887,0.14,0.68,no
1,13.099,74.798,0.127441,-0.020264,-0.781982,34.07,1006.561,55.83675,0.14,0.68,no
1,13.099,74.798,0.132813,-0.021484,-0.772217,34.08,1006.558,55.86254,0.14,0.68,no
1,13.099,74.798,0.143311,-0.025146,-0.777344,34.07,1006.534,56.06829,0.14,0.68,no
1,13.099,74.798,0.130859,-0.020264,-0.774658,34.07,1006.556,55.87922,0.14,0.68,no
1,13.099,74.798,0.126465,-0.0271,-0.776855,34.07,1006.541,56.01015,0.14,0.68,no
1,13.099,74.798,0.129883,-0.019531,-0.779541,34.07,1006.546,55.96566,0.14,0.68,no
1,13.099,74.798,0.137451,-0.022949,-0.770996,34.07,1006.539,56.02532,0.14,0.68,no
1,13.099,74.798,0.133057,-0.028076,-0.773682,34.08,1006.565,55.8049,0.14,0.68,no
1,13.099,74.798,0.136963,-0.025146,-0.776855,34.08,1006.546,55.96516,0.14,0.68,no
1,13.099,74.798,0.143799,-0.018066,-0.774658,34.08,1006.534,56.06728,0.14,0.68,no
1,13.099,74.798,0.13623,-0.015869,-0.772949,34.08,1006.539,56.0238,0.14,0.68,no
1,13.099,74.798,0.13501,-0.018066,-0.777344,34.08,1006.518,56.1972,0.14,0.68,no
1,13.099,74.798,0.131592,-0.016846,-0.781738,34.08,1006.532,56.08244,0.14,0.68,no
1,13.099,74.798,0.133301,-0.021484,-0.779785,34.08,1006.546,55.96415,0.14,0.68,no
1,13.099,74.798,0.133545,-0.021729,-0.785889,34.08,1006.513,56.2422,0.14,0.68,no
1,13.099,74.798,0.13501,-0.023926,-0.767334,34.07,1006.528,56.12693,0.14,0.68,no
1,13.099,74.798,0.133789,-0.027344,-0.779297,34.08,1006.529,56.11126,0.14,0.68,no
1,13.099,74.798,0.128662,-0.0271,-0.782227,34.08,1006.544,55.97931,0.14,0.68,no
1,13.099,74.798,0.131104,-0.020264,-0.77417,34.08,1006.52,56.18305,0.14,0.68,no
1,13.099,74.798,0.135498,-0.022461,-0.780273,34.08,1006.528,56.12036,0.14,0.68,no
1,13.099,74.798,0.135742,-0.020508,-0.784912,34.08,1006.545,55.9778,0.14,0.68,no
1,13.099,74.798,0.131348,-0.012939,-0.781006,34.08,1006.566,55.79884,0.14,0.68,no
1,13.099,74.798,0.129639,-0.016846,-0.77832,34.09,1006.561,55.84181,0.14,0.68,no
1,13.099,74.798,0.135986,-0.022949,-0.773438,34.09,1006.547,55.95808,0.14,0.68,no
1,13.099,74.798,0.140381,-0.022705,-0.771484,34.09,1006.55,55.92977,0.14,0.68,no
1,13.099,74.798,0.13916,-0.020752,-0.773438,34.08,1006.532,56.07991,0.14,0.69,no
1,13.099,74.798,0.132324,-0.022217,-0.7771,34.09,1006.549,55.94241,0.14,0.68,no
1,13.099,74.798,0.131592,-0.023193,-0.777588,34.09,1006.547,55.95657,0.14,0.68,no
1,13.099,74.798,0.130371,-0.020264,-0.772217,34.1,1006.554,55.89792,0.14,0.68,no
1,13.099,74.798,0.126953,-0.019287,-0.777588,34.09,1006.545,56.05919,0.14,0.68,no
1,13.099,74.798,0.131348,-0.0271,-0.772461,34.09,1006.515,56.22147,0.14,0.68,no
1,13.099,74.798,0.137939,-0.021484,-0.781738,34.1,1006.538,56.02886,0.14,0.68,no
1,13.099,74.798,0.134766,-0.023926,-0.773926,34.1,1006.535,56.05818,0.14,0.68,no
1,13.099,74.798,0.138428,-0.02832,-0.776367,34.09,1006.533,56.07436,0.14,0.68,no
1,13.099,74.798,0.134521,-0.026367,-0.783447,34.1,1006.558,55.8686,0.14,0.68,no
1,13.099,74.798,0.133057,-0.027588,-0.780029,34.1,1006.551,55.92724,0.14,0.68,no
1,13.099,74.798,0.130615,-0.014404,-0.778076,34.1,1006.551,55.92724,0.14,0.68,no
1,13.099,74.798,0.130371,-0.016602,-0.782959,34.1,1006.573,55.73565,0.14,0.68,no
1,13.099,74.798,0.136475,-0.021973,-0.775879,34.1,1006.553,55.90955,0.14,0.68,no
1,13.099,74.798,0.130859,-0.020752,-0.784668,34.1,1006.544,55.98336,0.14,0.69,no
1,13.099,74.798,0.136963,-0.025635,-0.783936,34.1,1006.542,55.99751,0.14,0.68,no
1,13.099,74.798,0.12915,-0.026611,-0.78125,34.1,1006.555,55.89438,0.14,0.68,no
1,13.099,74.798,0.140381,-0.023926,-0.778076,34.1,1006.544,55.98184,0.14,0.68,no
1,13.099,74.798,0.144531,-0.023438,-0.781738,34.1,1006.556,55.87972,0.14,0.68,no
1,13.099,74.798,0.129395,-0.023193,-0.789551,34.1,1006.551,55.9232,0.14,0.68,no
1,13.099,74.798,0.132813,-0.022461,-0.778076,34.1,1006.57,55.76345,0.14,0.68,no
1,13.099,74.798,0.137695,-0.016602,-0.780029,34.1,1006.56,55.85091,0.14,0.68,no
1,13.099,74.798,0.130615,-0.022461,-0.781006,34.11,1006.563,55.81956,0.14,0.68,no
1,13.099,74.798,0.135742,-0.023438,-0.771973,34.11,1006.56,55.8499,0.14,0.68,no
1,13.099,74.798,0.134521,-0.024658,-0.763916,34.11,1006.567,55.79176,0.14,0.68,no
1,13.099,74.798,0.138916,-0.02124,-0.765869,34.11,1006.579,55.68661,0.14,0.68,no
1,13.099,74.798,0.135498,-0.019043,-0.773438,34.11,1006.61,55.42577,0.14,0.68,no
1,13.099,74.798,0.13208,-0.020264,-0.779785,34.11,1006.578,55.70077,0.14,0.68,no
1,13.099,74.798,0.123779,-0.026855,-0.785889,34.11,1006.571,55.75991,0.14,0.68,no
1,13.099,74.798,0.127197,-0.023926,-0.777832,34.11,1006.565,55.80389,0.14,0.68,no
1,13.099,74.798,0.141602,-0.020508,-0.771973,34.12,1006.569,55.77356,0.14,0.69,no
1,13.099,74.798,0.133545,-0.020752,-0.778809,34.12,1006.567,55.78873,0.14,0.68,no
1,13.099,74.798,0.123291,-0.024414,-0.775879,34.11,1006.569,55.77356,0.14,0.68,no
1,13.099,74.798,0.129639,-0.021484,-0.786865,34.12,1006.56,55.84636,0.14,0.68,no
1,13.099,74.798,0.131348,-0.023193,-0.773438,34.12,1006.552,55.91865,0.14,0.68,no
1,13.099,74.798,0.143311,-0.012451,-0.772705,34.12,1006.555,55.88882,0.14,0.68,no
1,13.099,74.798,0.138916,-0.020996,-0.779297,34.12,1006.539,56.02077,0.14,0.68,no
1,13.099,74.798,0.139404,-0.018066,-0.779053,34.12,1006.55,55.9323,0.14,0.68,no
1,13.099,74.798,0.138428,-0.020508,-0.775635,34.12,1006.567,55.78721,0.14,0.68,no
1,13.099,74.798,0.133301,-0.023438,-0.774658,34.12,1006.548,55.94696,0.14,0.68,no
1,13.099,74.798,0.138672,-0.020264,-0.782715,34.12,1006.569,55.77205,0.14,0.68,no
1,13.099,74.798,0.133545,-0.01709,-0.773926,34.12,1006.562,55.82917,0.14,0.68,no
1,13.099,74.798,0.130371,-0.023682,-0.775635,34.13,1006.543,55.98841,0.14,0.68,no
1,13.099,74.798,0.129883,-0.018066,-0.778564,34.13,1006.528,56.12036,0.14,0.68,no
